Date,Monthly_Avg_Temp.x,Valid_Days.x,Monthly_Fertilizer_Use,TFP_Index,Capital_Index,Land_Q,Labor_Q,Fertilizer_Q,Cropland_Q,prep,Monthly_Avg_Temp.y,Valid_Days.y,Monthly_Production_tonnes,Yield_tonnes_per_hectare
2018-04-01,83.3537963,30,7540,98.7739,111.099,8300.4841,5249.199,150794.5948,7524.799,91.47,83.3537963,30,0,0.52400005
2018-01-01,82.10560676,31,3016,98.7739,111.099,8300.4841,5249.199,150794.5948,7524.799,4.48,82.10560676,31,135705,0.52400005
2023-08-01,78.19614695,31,NA,NA,NA,NA,NA,NA,NA,158.1,78.19614695,31,32685,0.56820005
2015-04-01,83.32220899,30,6645.85,100,100,7836.9582,4007.302,132913.1234,7060.118,68.32,83.32220899,30,0,0.51000005
2020-11-01,82.01175926,30,NA,100.1559,119.5205,8505.1825,5368.13,260440.4253,7726.296,26.83,82.01175926,30,80000,0.54170007
2020-04-01,83.45030423,30,NA,100.1559,119.5205,8505.1825,5368.13,260440.4253,7726.296,107.69,83.45030423,30,0,0.54170007
2021-09-01,78.86732804,30,NA,103.4212,125.8508,9110.7965,5472.259,202361.2441,8331.91,199.89,78.86732804,30,0,0.5526
2021-11-01,81.99957581,29,NA,103.4212,125.8508,9110.7965,5472.259,202361.2441,8331.91,79.04,81.99957581,29,104738.5,0.5526
2015-06-01,79.14062169,30,19937.55,100,100,7836.9582,4007.302,132913.1234,7060.118,133.36,79.14062169,30,85872,0.51000005
2018-08-01,78.10116487,31,22620,98.7739,111.099,8300.4841,5249.199,150794.5948,7524.799,180.19,78.10116487,31,45235,0.52400005
2021-06-01,80.97936508,30,NA,103.4212,125.8508,9110.7965,5472.259,202361.2441,8331.91,182.21,80.97936508,30,104738.5,0.5526
2015-01-01,81.21036706,24,2658.34,100,100,7836.9582,4007.302,132913.1234,7060.118,4.2,81.21036706,24,128808,0.51000005
2015-09-01,78.87982804,30,15950.04,100,100,7836.9582,4007.302,132913.1234,7060.118,134.87,78.87982804,30,0,0.51000005
2020-08-01,78.25582437,31,NA,100.1559,119.5205,8505.1825,5368.13,260440.4253,7726.296,128.94,78.25582437,31,40000,0.54170007
2023-11-01,82.44203704,30,NA,NA,NA,NA,NA,NA,NA,79.73,82.44203704,30,65370,0.56820005
2020-12-01,82.48796723,31,NA,100.1559,119.5205,8505.1825,5368.13,260440.4253,7726.296,16.81,82.48796723,31,80000,0.54170007
2018-10-01,80.31843318,31,12064,98.7739,111.099,8300.4841,5249.199,150794.5948,7524.799,172.94,80.31843318,31,90470,0.52400005
2022-03-01,84.12443676,31,NA,104.6562,132.4306,9405.3255,5578.694,207839.5976,8626.439,56.97,84.12443676,31,68330,0.56040007
2015-07-01,78.29150026,31,19937.55,100,100,7836.9582,4007.302,132913.1234,7060.118,115.05,78.29150026,31,85872,0.51000005
2016-07-01,78.43205325,31,18469.05,97.4812,102.6672,7859.1965,4594.178,123120.2259,7084.676,138.72,78.43205325,31,85872,0.51000005
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-01,84.2075873,25,NA,103.4212,125.8508,9110.7965,5472.259,202361.2441,8331.91,17.43,84.2075873,25,157107.75,0.5526
2022-11-01,81.75898148,30,NA,104.6562,132.4306,9405.3255,5578.694,207839.5976,8626.439,46.51,81.75898148,30,68330,0.56040007
