Month,Monthly_Avg
2000-06-01,941.5709090909091
2000-07-01,936.6861904761905
2000-08-01,877.8769565217391
2000-09-01,883.1228571428571
2000-10-01,878.1218181818182
2000-11-01,800.8704545454545
2000-12-01,803.591
2001-01-01,966.5813636363636
2001-02-01,1156.9375
2001-03-01,1124.405909090909
2001-04-01,1081.6155
2001-05-01,1079.6263636363637
2001-06-01,972.1533333333333
2001-07-01,967.1122727272727
2001-08-01,1034.1060869565217
2001-09-01,1019.7764999999999
2001-10-01,1084.7782608695652
2001-11-01,1240.8263636363636
2001-12-01,1336.7894117647058
2002-01-01,1384.2163636363637
2002-02-01,1491.7755
2002-03-01,1592.0285
2002-04-01,1569.2877272727274
2002-05-01,1605.2891304347827
2002-06-01,1658.655
2002-07-01,1868.5952173913042
2002-08-01,1960.4681818181818
2002-09-01,2163.937142857143
2002-10-01,2205.2621739130436
2002-11-01,1814.065238095238
2002-12-01,2022.7240000000002
2003-01-01,2184.728181818182
2003-02-01,2239.2650000000003
2003-03-01,1994.7190476190476
2003-04-01,1927.6771428571428
2003-05-01,1749.7247619047619
2003-06-01,1579.1090476190475
2003-07-01,1560.3130434782609
2003-08-01,1571.447619047619
2003-09-01,1631.584090909091
2003-10-01,1481.9343478260869
2003-11-01,1511.0339999999999
2003-12-01,1627.2809523809524
2004-01-01,1624.2819047619048
2004-02-01,1569.1245
2004-03-01,1504.4265217391305
2004-04-01,1437.3509523809523
2004-05-01,1413.747
2004-06-01,1407.965909090909
2004-07-01,1559.4704545454545
2004-08-01,1729.215
2004-09-01,1540.2886363636364
2004-10-01,1484.7138095238095
2004-11-01,1662.226818181818
2004-12-01,1648.544347826087
2005-01-01,1549.1333333333334
2005-02-01,1634.5985
2005-03-01,1757.591818181818
2005-04-01,1585.9504761904761
2005-05-01,1511.3942857142856
2005-06-01,1539.0722727272728
2005-07-01,1489.01
2005-08-01,1481.9308695652173
2005-09-01,1504.1563636363635
2005-10-01,1452.5466666666666
2005-11-01,1433.9654545454546
2005-12-01,1517.6090476190477
2006-01-01,1577.7828571428572
2006-02-01,1545.0745
2006-03-01,1544.1330434782608
2006-04-01,1552.3736842105263
2006-05-01,1594.4545454545455
2006-06-01,1606.645909090909
2006-07-01,1676.655238095238
2006-08-01,1610.787391304348
2006-09-01,1567.4214285714286
2006-10-01,1529.6272727272728
2006-11-01,1581.18
2006-12-01,1702.503
2007-01-01,1701.9895454545454
2007-02-01,1813.8775
2007-03-01,1924.2022727272727
2007-04-01,1977.1995
2007-05-01,2004.8377272727273
2007-06-01,2016.692380952381
2007-07-01,2152.6459090909093
2007-08-01,1902.0930434782608
2007-09-01,1938.0815
2007-10-01,1914.6843478260869
2007-11-01,1966.8377272727273
2007-12-01,2113.1305
2008-01-01,2215.8513636363637
2008-02-01,2523.0733333333333
2008-03-01,2670.4055000000003
2008-04-01,2628.33
2008-05-01,2689.6204761904764
2008-06-01,3021.76
2008-07-01,2953.6821739130437
2008-08-01,2810.4709523809524
2008-09-01,2678.963181818182
2008-10-01,2252.2765217391307
2008-11-01,2067.723
2008-12-01,2457.0854545454545
2009-01-01,2626.0052380952384
2009-02-01,2647.5860000000002
2009-03-01,2509.972272727273
2009-04-01,2555.1661904761904
2009-05-01,2480.7365
2009-06-01,2700.364090909091
2009-07-01,2791.352608695652
2009-08-01,2956.6652380952382
2009-09-01,3142.8636363636365
2009-10-01,3372.5022727272726
2009-11-01,3384.13
2009-12-01,3497.585
2010-01-01,3525.123
2010-02-01,3276.5465
2010-03-01,3089.6460869565217
2010-04-01,3221.237619047619
2010-05-01,3178.4855000000002
2010-06-01,3230.831818181818
2010-07-01,3229.546363636364
2010-08-01,3071.7136363636364
2010-09-01,2874.9295454545454
2010-10-01,2927.456666666667
2010-11-01,2910.310454545455
2010-12-01,3060.0208695652173
2011-01-01,3164.8630000000003
2011-02-01,3472.27
2011-03-01,3392.966956521739
2011-04-01,3134.367
2011-05-01,3070.764285714286
2011-06-01,3015.6386363636366
2011-07-01,3167.1838095238095
2011-08-01,3064.3082608695654
2011-09-01,2873.884090909091
2011-10-01,2680.0433333333335
