STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-06,0,77,84,71
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-07,0.67,81,NA,72
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-08,0,84,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-09,0.94,81,NA,69
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-10,0.79,82,NA,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-11,0,82,NA,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-12,NA,85,NA,77
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-13,0,83,91,78
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-14,NA,83,NA,78
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-15,NA,76,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-16,1.1,80,NA,71
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-17,0,83,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-18,NA,82,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-19,NA,83,89,77
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-20,NA,83,90,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-21,NA,82,NA,78
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-22,0,82,NA,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-23,NA,85,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-24,NA,83,NA,68
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-25,NA,82,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-26,NA,81,NA,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-27,NA,82,90,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-28,NA,80,87,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-29,0,80,90,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-30,NA,80,90,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-05-31,NA,83,NA,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-01,NA,85,NA,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-02,NA,82,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-03,0.04,81,88,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-04,0,82,NA,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-05,0,83,89,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-06,0,82,NA,77
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-07,0,82,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-08,NA,81,NA,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-09,NA,81,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-10,NA,83,NA,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-11,NA,83,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-12,0.83,79,NA,70
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-13,0.04,81,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-14,0.39,78,NA,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-15,0.83,82,88,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-16,0,80,87,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-17,NA,83,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-18,0,82,87,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-19,NA,81,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-20,NA,80,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-21,NA,79,NA,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-22,NA,80,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-23,0,82,NA,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-24,NA,77,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-25,0.63,79,83,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-26,0,78,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-27,0.08,75,78,73
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-28,0.16,76,NA,72
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-29,0.28,78,82,72
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-06-30,0,78,NA,73
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-01,0,77,81,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-02,NA,78,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-03,0.01,77,NA,71
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-04,0,78,NA,72
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-05,NA,78,NA,73
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-06,0.08,78,NA,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-07,0.08,76,78,75
